code,lat,lon,name,"Наименование
товара",,,,,,,
A100ABS025A,"53,7071634","91,439021",НБ Абаканская,бензин (АИ-100-К5),,,,,,,
A100AVM005A,"50,6357821","137,0776457",Комсомольский НПЗ (СН),бензин (АИ-100-К5),,,,,,,
A100KMB025A,"54,4265851","56,3371581",НБ Карламанская,бензин (АИ-100-К5),,,,,,,
A100NEH005A,"45,1115594","41,9702613",Нефтегазохранилище х. Вязники,бензин (АИ-100-К5),,,,,,,
A100NFT005A,"47,2470135","39,5870028",НБ Ростовская,бензин (АИ-100-К5),,,,,,,
A100PTK005A,"45,2385852","38,147987",НБ Протокская,бензин (АИ-100-К5),,,,,,,
A100PUN005A,"57,5543","39,8111707",Пункт автоналива ЯНОС,бензин (АИ-100-К5),,,,,,,
A100SCI005A,"43,4342526","39,9340751",НБ Адлерская,бензин (АИ-100-К5),,,,,,,
A100SMK005A,"54,6547016","32,1847961",НБ Смоленская,бензин (АИ-100-К5),,,,,,,
A100SYC005A,"53,177549","48,5569431",НБ Сызранская,бензин (АИ-100-К5),,,,,,,
A100VRZ005A,"51,6479059","39,3050031",Воронежский цех,бензин (АИ-100-К5),,,,,,,
A100ZHL005A,"52,3484486","104,2708274",Жилкинский цех,бензин (АИ-100-К5),,,,,,,
A100ZNT025A,"45,229123","38,1294432",Славянск ЭКО,бензин (АИ-100-К5),,,,,,,
A106CUU005A,"55,6686860","52,1920370",НБ Чулман-Транс,"бензин (АИ-100-К5) ""EURO-6""",,,,,,,
A106NPT005A,"55,605631","51,961132",ТАНЕКО,"бензин (АИ-100-К5) ""EURO-6""",,,,,,,
A106ROR005A,"54,9256124","37,4359379",НБ Серпуховская,"бензин (АИ-100-К5) ""EURO-6""",,,,,,,
A592ASG005A,"46,4082467","48,1305043",НБ Астрахань,бензин (АИ-92-К5),,,,,,,
A592AVA025A,"54,8927927","20,5737878",НБ Авианефть,бензин (АИ-92-К5),,,,,,,
A592GAP010A,"53,3998115","55,9060868",Газпром нефтехим Салават,бензин (АИ-92-К5),,,,,,,
A592HAG025A,"55,0938","36,6122",БП Хаб Москва-Юг,бензин (АИ-92-К5),,,,,,,
A592HAM025A,"55,5033","37,9422",БП Хаб Москва-Восток,бензин (АИ-92-К5),,,,,,,
A592HAZ025A,"55,626299","37,298617",БП Хаб Москва-Запад,бензин (АИ-92-К5),,,,,,,
A592HOK025A,"51,5995724","38,9722138",НБ Хохольская,бензин (АИ-92-К5),,,,,,,
A592KTV005A,"56,1518379","44,2068507",НБ Кстовская,бензин (АИ-92-К5),,,,,,,
A592NFH005A,"43,3680436","44,7361341",НБ Империал,бензин (АИ-92-К5),,,,,,,
A592PIE025A,"59,9261381","29,6868858",Прибрежный склад нефтепродуктов (Бронка),бензин (АИ-92-К5),,,,,,,
A592RER005A,"55,6847981","37,9819785",НБ РЕСУРС,бензин (АИ-92-К5),,,,,,,
A592VGE005A,"48,9486116","44,2205068",НБ Волгоград №2,бензин (АИ-92-К5),,,,,,,
A595AVA025A,"54,8927927","20,5737878",НБ Авианефть,бензин (АИ-95-К5),,,,,,,
A595ENU025A,"54,8894038","51,9841041",Елховский НПЗ,бензин (АИ-95-К5),,,,,,,
A595HAG025A,"55,0938","36,6122",БП Хаб Москва-Юг,бензин (АИ-95-К5),,,,,,,
A595HAM025A,"55,5033","37,9422",БП Хаб Москва-Восток,бензин (АИ-95-К5),,,,,,,
A595HAZ025A,"55,626299","37,298617",БП Хаб Москва-Запад,бензин (АИ-95-К5),,,,,,,
A595HOK025A,"51,5995724","38,9722138",НБ Хохольская,бензин (АИ-95-К5),,,,,,,
A595PEG005A,"59,8836349","29,8349103",НБ Петергофская,бензин (АИ-95-К5),,,,,,,
A595PIE025A,"59,9261381","29,6868858",Прибрежный склад нефтепродуктов (Бронка),бензин (АИ-95-К5),,,,,,,
A595RER005A,"55,6847981","37,9819785",НБ РЕСУРС,бензин (АИ-95-К5),,,,,,,
A598NPT005A,"55,605631","51,961132",ТАНЕКО,бензин (АИ-98-К5),,,,,,,
A692AAN025A,"53,32983","83,641465",НБ АНР,бензин (АИ-92-К5),,,,,,,
A692AAY025A,"55,4857103","60,8751953",НБ Аргаяшская,бензин (АИ-92-К5),,,,,,,
A692ABE010A,"53,327656","58,6273839",НБ Абзелиловская,бензин (АИ-92-К5),,,,,,,
A692ABS005A,"53,7071634","91,439021",НБ Абаканская,бензин (АИ-92-К5),,,,,,,
A692ACH005A,"56,5042626","90,7164586",Ачинский НПЗ,бензин (АИ-92-К5),,,,,,,
A692AIK025A,"57,19532","65,6148594",НБ Арникс,бензин (АИ-92-К5),,,,,,,
A692AKT025A,"53,260136","83,4772862",НБ АНК-2,бензин (АИ-92-К5),,,,,,,
A692AMK025A,"57,8839529","56,1652655",НБ Амкар-Сервис,бензин (АИ-92-К5),,,,,,,
A692AML025A,"66,0389090","77,0180220",НБ ЯмалЭкоСервис,бензин (АИ-92-К5),,,,,,,
A692ANC025A,"55,1727486","61,4168746",НБ Анкер,бензин (АИ-92-К5),,,,,,,
A692ANL025A,"52,5243393","103,9018875",НБ БУЭК-Ангарск,бензин (АИ-92-К5),,,,,,,
A692ANU025A,"57,1545825","65,6067347",Тюменский НПЗ,бензин (АИ-92-К5),,,,,,,
A692AOP025A,"47,5266619","38,7431497",НБ АГРОПРОДУКТ,бензин (АИ-92-К5),,,,,,,
A692ASO005A,"61,2776948","73,1885344",Сургутский ЗСК (АСН),бензин (АИ-92-К5),,,,,,,
A692ASR005A,"46,3586008","48,0569482",БП Астрахань,бензин (АИ-92-К5),,,,,,,
A692AVM005A,"50,6357821","137,0776457",Комсомольский НПЗ (СН),бензин (АИ-92-К5),,,,,,,
A692BEP010A,"53,928889","58,321944",НБ Белорецкая,бензин (АИ-92-К5),,,,,,,
A692BIF005A,"52,5564013","85,1297695",НБ Бийская,бензин (АИ-92-К5),,,,,,,
A692BLD005A,"50,5948714","36,6698203",НБ Белгородская,бензин (АИ-92-К5),,,,,,,
A692BLF005A,"44,7440912","39,8798671",НБ Белореченская,бензин (АИ-92-К5),,,,,,,
A692BLL005A,"52,8136698","79,8907664",НБ Благовещенская,бензин (АИ-92-К5),,,,,,,
A692BLM005A,"58,4468168","85,03453",НБ Белоярская,бензин (АИ-92-К5),,,,,,,
A692BRF005A,"53,2338359","34,3512709",НБ Брянская,бензин (АИ-92-К5),,,,,,,
A692BRG005A,"51,3592038","42,1020224",Борисоглебский цех,бензин (АИ-92-К5),,,,,,,
A692BSA005A,"51,5283208","43,1356942",НБ Балашовская,бензин (АИ-92-К5),,,,,,,
A692BUH010A,"52,781279","52,2579515",НБ Бузулукская,бензин (АИ-92-К5),,,,,,,
A692CEF005A,"44,8428466","37,6622349",НБ Черноморская,бензин (АИ-92-К5),,,,,,,
A692CEV010A,"55,2203405","61,3140434",НБ Челябинская,бензин (АИ-92-К5),,,,,,,
A692CIY005A,"47,6433306","42,0860823",НБ Цимлянская,бензин (АИ-92-К5),,,,,,,
A692DAS005A,"45,036035","38,9745706",БП Дагестан,бензин (АИ-92-К5),,,,,,,
A692DIB025A,"51,645744","39,2755923",НБ Дибеко,бензин (АИ-92-К5),,,,,,,
A692DOP005A,"60,9684372","76,541361",НБ Доркомплект,бензин (АИ-92-К5),,,,,,,
A692ENR025A,"55,10466","61,37295",НБ Энергия-Байт,бензин (АИ-92-К5),,,,,,,
A692ENU025A,"54,8894038","51,9841041",Елховский НПЗ,бензин (АИ-92-К5),,,,,,,
A692ETI025A,"55,489335","65,371607",НБ Этиламин,бензин (АИ-92-К5),,,,,,,
A692FIA005A,"56,802887","105,8880422",Усть-Кутский цех,бензин (АИ-92-К5),,,,,,,
A692FIS005A,"45,3396945","42,8264506",Светлоградский цех,бензин (АИ-92-К5),,,,,,,
A692FIT005A,"44,7935047","44,1571661",Буденновский цех,бензин (АИ-92-К5),,,,,,,
A692FIV005A,"44,1613139","43,4699825",Георгиевский цех,бензин (АИ-92-К5),,,,,,,
A692GUB005A,"51,305942","37,3131291",НБ Губкинская,бензин (АИ-92-К5),,,,,,,
A692IAL025A,"65,9167537","78,1844652",НБ МИАЛ,бензин (АИ-92-К5),,,,,,,
A692INF025A,"61,2835729","73,2066849",НБ Информат,бензин (АИ-92-К5),,,,,,,
A692IRM005A,"55,3989389","86,0050055",НБ Кировская Терминал-Ойл,бензин (АИ-92-К5),,,,,,,
A692JEF005A,"51,4192511","45,9521768",НБ Энгельcская,бензин (АИ-92-К5),,,,,,,
A692KCV005A,"50,4228805","40,9710353",Калачеевский цех,бензин (АИ-92-К5),,,,,,,
A692KDK005A,"45,2491642","39,0092506",НБ Краснодарская,бензин (АИ-92-К5),,,,,,,
A692KDM005A,"56,1651918","43,8709444",НБ Кудьминская,бензин (АИ-92-К5),,,,,,,
A692KGY005A,"62,2775258","74,5171619",НБ Когалым,бензин (АИ-92-К5),,,,,,,
A692KHC005A,"54,2448966","101,6526401",Харикский цех,бензин (АИ-92-К5),,,,,,,
A692KKU005A,"51,6457772","36,1221136",НБ Курская,бензин (АИ-92-К5),,,,,,,
A692KLT005A,"51,7255666","103,7116355",Култукский цех,бензин (АИ-92-К5),,,,,,,
A692KMB010A,"54,4265851","56,3371581",НБ Карламанская,бензин (АИ-92-К5),,,,,,,
A692KML005A,"64,0338854","34,2387539",НБ Кочкомская,бензин (АИ-92-К5),,,,,,,
A692KMV005A,"54,8841159","41,354487",НБ Касимовская,бензин (АИ-92-К5),,,,,,,
A692KNC005A,"52,7381562","32,2385958",НБ Клинцовская,бензин (АИ-92-К5),,,,,,,
A692KPF025A,"55,0041604","57,9858277",НБ Кропачево,бензин (АИ-92-К5),,,,,,,
A692KSC005A,"52,6062328","39,3939727",НБ Косыревская,бензин (АИ-92-К5),,,,,,,
A692KTF005A,"61,2803892","46,6709731",НБ Котласская,бензин (АИ-92-К5),,,,,,,
A692KYI005A,"67,622147","33,6799757",НБ Кировская,бензин (АИ-92-К5),,,,,,,
A692KYZ005A,"53,1215079","50,0555803",НБ Кряжская,бензин (АИ-92-К5),,,,,,,
