Название;Компания;Сегмент;Код;Широта;Долгота;Топливо;Категория;Цена;Дата
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ТАНЕКО (самовывоз
автотранспортом)";Бензин;60859.0;05.03
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;"Бензин (АИ-92-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;63970.0;05.03
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;"Бензин (АИ-95-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;66001.0;05.03
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;"ДТ класс 2 (ДТ-З-К5) минус 32 EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;69501.0;05.03
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, ТАНЕКО (самовывоз
автотранспортом)";Бензин;73500.0;05.03
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;"Бензин (АИ-100-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;97000.0;05.03
ТАНЕКО;SPIMEX;spimex;PT_55_6056_51_9611;55.6056;51.9611;ДТ (ДТ-З-К5) минус 26, ТАНЕКО (самовывоз автотранспортом);ДтЗ;65000.0;05.03
Ачинский НПЗ;SPIMEX;spimex;PT_56_5043_90_7165;56.5043;90.7165;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)";Бензин;63000.0;05.03
Ачинский НПЗ;SPIMEX;spimex;PT_56_5043_90_7165;56.5043;90.7165;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)";Бензин;69000.0;05.03
Ачинский НПЗ;SPIMEX;spimex;PT_56_5043_90_7165;56.5043;90.7165;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Ачинский НПЗ
(самовывоз автотранспортом)";Бензин;71500.0;05.03
НБ АНК-2;SPIMEX;spimex;PT_53_2601_83_4773;53.2601;83.4773;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
АНК-2 (самовывоз автотранспортом)";Бензин;66500.0;05.03
НБ АНК-2;SPIMEX;spimex;PT_53_2601_83_4773;53.2601;83.4773;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
АНК-2 (самовывоз автотранспортом)";Бензин;69500.0;05.03
Сургутский ЗСК (АСН);SPIMEX;spimex;PT_61_2777_73_1885;61.2777;73.1885;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)";Бензин;60000.0;05.03
Сургутский ЗСК (АСН);SPIMEX;spimex;PT_61_2777_73_1885;61.2777;73.1885;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)";Бензин;64500.0;05.03
Сургутский ЗСК (АСН);SPIMEX;spimex;PT_61_2777_73_1885;61.2777;73.1885;"ДТ вид 4 (ДТ-А-К5) минус 44, АСН Сургутский ЗСК (самовывоз
автотранспортом)";ДтА;74000.0;05.03
Комсомольский НПЗ (СН);SPIMEX;spimex;PT_50_6358_137_0776;50.6358;137.0776;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)";Бензин;72000.0;05.03
Комсомольский НПЗ (СН);SPIMEX;spimex;PT_50_6358_137_0776;50.6358;137.0776;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, СН
КНПЗ (самовывоз автотранспортом)";Бензин;76000.0;05.03
Комсомольский НПЗ (СН);SPIMEX;spimex;PT_50_6358_137_0776;50.6358;137.0776;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, СН КНПЗ (самовывоз
автотранспортом)";Бензин;83500.0;05.03
НБ Челябинская;SPIMEX;spimex;PT_55_2203_61_314;55.2203;61.314;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Челябинская НБ (самовывоз автотранспортом)";Бензин;65400.0;05.03
НБ Челябинская;SPIMEX;spimex;PT_55_2203_61_314;55.2203;61.314;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Челябинская НБ (самовывоз автотранспортом)";Бензин;70100.0;05.03
НБ Челябинская;SPIMEX;spimex;PT_55_2203_61_314;55.2203;61.314;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Челябинская НБ
(самовывоз автотранспортом)";Бензин;76000.0;05.03
НБ Энгельcская;SPIMEX;spimex;PT_51_4193_45_9522;51.4193;45.9522;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Энгельская (самовывоз автотранспортом)";Бензин;66900.0;05.03
НБ Кудьминская;SPIMEX;spimex;PT_56_1652_43_8709;56.1652;43.8709;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, НБ Кудьминская
(самовывоз автотранспортом)";Бензин;61500.0;05.03
НБ Кудьминская;SPIMEX;spimex;PT_56_1652_43_8709;56.1652;43.8709;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Кудьминская (самовывоз автотранспортом)";Бензин;68500.0;05.03
