Название;Компания;Сегмент;Топливо;Категория;Цена;Дата
ТАНЕКО;SPIMEX;spimex;"Бензин (АИ-92-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;64000.0;09.03
ТАНЕКО;SPIMEX;spimex;"Бензин (АИ-95-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;66000.0;09.03
ТАНЕКО;SPIMEX;spimex;"Бензин (АИ-100-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)";Бензин;97000.0;09.03
ТАНЕКО;SPIMEX;spimex;"ДТ ЕВРО сорт E (ДТ-Е-К5) минус 15, ТАНЕКО (самовывоз
автотранспортом)";ДтЕ;65002.0;09.03
ТАНЕКО;SPIMEX;spimex;ДТ (ДТ-З-К5) минус 26, ТАНЕКО (самовывоз автотранспортом);ДтЗ;65000.0;09.03
ТАНЕКО;SPIMEX;spimex;"ДТ класс 2 (ДТ-З-К5) минус 32 EURO-6, ТАНЕКО (самовывоз
автотранспортом)";ДтЗ;69500.0;09.03
ТАНЕКО;SPIMEX;spimex;"ДТ ЕВРО класс 4 (ДТ-А-К5) минус 44, ТАНЕКО (самовывоз
автотранспортом)";ДтА;73500.0;09.03
Ачинский НПЗ;SPIMEX;spimex;"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)";Бензин;63000.0;09.03
Ачинский НПЗ;SPIMEX;spimex;"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Ачинский НПЗ (самовывоз автотранспортом)";Бензин;69500.0;09.03
Ачинский НПЗ;SPIMEX;spimex;"ДТ ЕВРО класс 2 (ДТ-З-К5) минус 32, Ачинский НПЗ
(самовывоз автотранспортом)";ДтЗ;72051.0;09.03
Сургутский ЗСК (АСН);SPIMEX;spimex;"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)";Бензин;58750.0;09.03
Сургутский ЗСК (АСН);SPIMEX;spimex;"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН
Сургутский ЗСК (самовывоз автотранспортом)";Бензин;63500.0;09.03
